"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
美味香酥卷,368,7.5,76.3,3.6,10.7,0.4,1.5,18,0,18,0.12,0.52,0,0,4.54,152,185.8,0,56,2.4,0.6,0,0.44,112,18.5
美雪啤酒,31,0,0,0,0,0,0,0,0,0,0,0.05,1.2,0,0,14,8.3,4,10,0,0,0.21,0.01,24,0.42
蒙古韭,25,2.4,2,0.8,88.2,1.8,4.8,0,0,0,0.05,0.18,0.4,0,0,604,1712.4,457,98,0,0.61,0.7,0.49,10,3.9
猕猴桃,56,0.8,11.9,0.6,83.4,2.6,0.7,0,130,22,0.05,0.02,0.3,62,2.43,144,10,27,12,1.2,0.73,0.57,1.87,26,0.28
猕猴桃晶,390,0.4,97.1,0,2.2,0,0.3,0,0,0,0.09,0.11,0.5,0,0,96,2.2,28,11,1.6,0,0,0.11,4,2.25
糜子(带皮),348,10.6,75.1,0.6,9.4,0,4.3,0,0,0,0.45,0.18,1.2,0,3.5,148,9.6,99,146,5,1.1,2.07,0.61,205,12.01
糜子米(炒米),374,8.1,79.5,2.6,7.6,1,1.2,0,0,0,0.29,0.04,0.7,0,0,252,10.7,12,112,14.3,0.63,1.89,0.45,233,4.53
"米饭(蒸,粳米)",117,2.6,26,0.3,70.6,0.2,0.3,0,0,0,0,0.03,2,0,0,39,3.3,7,20,2.2,0.85,1.36,0.09,62,4
"米饭(蒸,籼米)",114,2.5,25.6,0.2,71.1,0.4,0.2,0,0,0,0.02,0.03,1.7,0,0,21,1.7,6,10,0.3,0.31,0.47,0.08,0,0
米粉,355,7.4,81.2,0.1,10.7,0.3,0.3,0,0,0,0.02,0.02,0.6,0,0,14,16.3,6,16,3.2,0.6,0.8,0.3,62,7.48
米粉(干),346,8,78.2,0.1,12.3,0.1,1.3,0,0,0,0.03,0,0.2,0,0,43,5.9,0,23,1.4,0.63,2.27,3,53,3.44
米花糖,384,3.1,85.5,3.3,7.3,0.3,0.5,0,0,0,0.05,0.09,2.5,0,2.16,55,43.4,144,42,5.4,0.56,0,0.31,52,2.3
米糠油,899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,60.89,2.4,7,9,2.9,3.7,0.11,0.54,0.18,9,2.34
米粥(粳米),46,1.1,9.8,0.3,88.6,0.1,0.1,0,0,0,0,0.03,0.2,0,0,13,2.8,7,7,0.1,0.2,0.2,0.03,20,0.2
蜜酒,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蜜麻花,367,4.8,62.3,11,19.4,0.9,1.6,0,0,0,0.01,0.01,0,0,7.93,135,361.5,99,98,4.5,0.67,0.6,0.08,83,7.2
绵白糖,396,0.1,98.9,0,0.9,0,0.1,0,0,0,0,0,0.2,0,0,2,2,6,2,0.2,0.08,0.07,0.02,3,0.38
棉花糖,321,4.9,75.3,0,19.5,0,0.3,0,0,0,0.04,0.01,0.3,0,0,2,94.6,19,3,0,0,0,0.11,4,0
棉籽油,899,0,0.1,99.8,0.1,0,0,0,0,0,0,0,0,0,86.45,1,4.5,17,1,2,0,0.74,0.08,16,1.35
面包,312,8.3,58.1,5.1,27.4,0.5,0.6,0,0,0,0.03,0.06,0,0,1.66,88,230.4,49,31,2,0.37,0.75,0.24,107,3.15
