"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
VC啤酒,34,0.3,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,75,25,0,0,0,0,0.25,0,0,0
艾菜,21,1.9,2.7,0.3,93,1.2,0.9,0,1510,252,0.04,0.09,0.6,18,0.92,220,161.3,73,20,2.5,0.28,0.35,0.06,36,0.6
艾窝窝,190,4.3,43.1,0,52.1,0.29,0.2,0,0,0,0.02,0.04,0.6,0,0.19,53,1.7,19,13,0.5,0.35,0.32,0.76,34,1.55
鹌鹑,110,20.2,0.2,3.1,75.1,0,1.4,40,0,40,0.04,0.32,6.3,0,0.44,204,48.4,48,20,2.3,0.08,1.19,0.1,179,11.67
鹌鹑蛋,160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
鹌鹑蛋(熟),160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
鹌鹑蛋(五香罐头),152,11.6,0,11.7,74.4,0,2.3,98,0,98,0.01,0.06,0.3,0,5.34,41,711.5,157,8,2.6,0.03,1.43,0.13,209,11.6
鹌鹑蛋黄,160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
螯虾,93,14.8,0,3.8,80.1,0,1.3,0,0,1,0.02,0.18,2.7,0,4.31,550,225.2,85,2,6.4,3.25,1.45,1.07,228,7.9
螯鱼,82,20.2,0,0.9,79.3,0,1.3,33,0,33,0.01,0.05,3,0,0,357,54.8,21,18,1.1,0.07,0.81,0.05,228,51.09
八宝菜（酱）,72,4.6,10.2,1.4,72.3,3.2,8.3,0,0,0,0.17,0.03,0.2,0,1.11,109,2843.2,110,38,4.8,0.5,0.53,0.18,77,2.2
八角,195,3.8,32.4,5.6,11.8,43,3.4,0,40,7,0.12,0.28,0.9,0,1.11,202,14.7,41,68,6.3,7.42,0.62,0.63,64,3.08
八角鱼,135,18.9,14,0.4,65.4,0,1.3,0,0,0,0.04,0.06,5.4,0,1.34,447,65.4,21,50,0.6,0,0.68,0.24,63,27.3
八爪鱼,135,18.9,14,0.4,65.4,0,1.3,0,0,0,0.04,0.06,5.4,0,1.34,447,65.4,21,50,0.6,0,0.68,0.24,63,27.3
巴鱼,122,21.2,2.2,3.1,72.5,0,1.1,19,0,19,0.03,0.04,2.1,0,0.71,370,74.2,35,50,0.8,0.03,1.39,0.37,130,51.81
扒鸡,215,29.6,0,11,56.5,0,3.4,32,0,32,0.02,0.17,9.2,0,0,149,1000.7,31,24,2.9,0.01,3.23,0.05,157,8.1
芭蕉,109,1.2,25.8,0.1,68.9,3.1,0.9,0,0,0,0.02,0.02,0.6,0,0,330,1.3,6,29,0.3,0.78,0.16,0.1,18,0.81
鲅鱼,122,21.2,2.2,3.1,72.5,0,1.1,19,0,19,0.03,0.04,2.1,0,0.71,370,74.2,35,50,0.8,0.03,1.39,0.37,130,51.81
鲅鱼(咸),157,23.3,12.4,1.6,52.8,0,9.9,0,0,0,0.04,0,2.7,0,4.6,298,5350,0,0,6.2,0,2.23,0.1,228,28.3
白斑角鲨,110,22.2,0,3.2,75.1,0,1.3,21,0,21,0.01,0.05,3.1,0,0.58,285,102.2,41,30,0.9,0.03,0.73,0.06,212,57.02
白菜,15,1.5,1.6,0.3,94.5,1.1,1,0,1680,280,0.02,0.09,0.7,28,0.7,178,73.5,90,18,1.9,0.27,0.51,0.08,36,1.17
白菜（脱水）,286,6.2,63.51,0.8,10,9.4,10.1,0,0,0,0.24,0,4.8,187,0,2269,492.5,908,219,13.8,2.65,4.68,0.87,485,6.33
白带鱼,127,17.7,3.1,4.9,73.3,0,1,29,0,29,0.02,0.06,2.8,0,0.82,280,150.1,28,43,1.2,0.17,0.7,0.08,191,36.57
白地果,94,4.6,18.5,0.2,73.6,1.4,1.7,0,0,0,0.14,0.07,1.6,4,2.16,707,39.1,14,24,2.2,0.39,0.99,0.22,0.22,0.92
白姑鱼,150,19.1,0,8.2,71.5,0,1.3,0,0,0,0.02,0.08,3.3,0,1.49,382,152.7,23,28,0.3,0.02,0.84,0.04,171,21
白瓜,18,0.6,3.5,0.2,95,0.4,0.3,0,20,3,0.02,0.01,0.2,12,0.03,136,1.6,20,15,0.5,0.03,0.1,0.03,14,0.63
白瓜,10,0.9,1.7,0,96.2,0.9,0.3,0,0,0,0.02,0.04,0.1,16,0.2,70,1,6,8,0.1,0.11,0.04,0.01,11,1.1
白瓜子,574,36,3.8,46.1,4.1,4.1,5.9,0,0,0,0.08,0.16,3.3,0,27.28,672,15.8,37,376,6.5,3.85,7.12,1.44,0,27.03
白果,355,13.2,72.6,1.3,9.9,0,3,0,0,0,0,0,0,0,0.73,17,17.5,54,0,0.2,2.03,0.69,0.45,23,14.5
白果（干）,355,13.2,72.6,1.3,9.9,0,3,0,0,0,0,0.1,0,0,24.7,17,17.5,54,0,0.2,2.03,0.69,0.45,23,14.5
白鲩,112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66
白金瓜,24,0.4,5.7,0,93,0.5,0.4,0,100,17,0.05,0.08,0.7,17,0,182,1.6,12,10,0.4,0,0.26,0.08,13,0.37
白兰瓜,21,0.6,4.5,0.1,93.2,0.8,0.8,0,40,7,0.02,0.03,0.6,14,0,0,0,0,0,0,0,0,0,0,0
白鲢,102,17.8,0,3.6,77.8,0,1.2,20,0,20,0.03,0.07,2.5,0,1.23,277,57.5,53,23,1.4,0.09,1.17,0.06,190,15.68
白露虾,90,18.5,3,0.4,76.4,0,1.7,12,0,79,0.03,0.06,3.1,0,3.52,386,208.8,36,47,2.9,0.12,1.55,0.62,241,9.11
白米虾,81,17.3,2,0.4,77.3,0,3,54,0,54,0.05,0.03,0,0,3.34,255,90.7,403,26,2.1,0.25,2.03,0.99,267,0
白米子(鱼),150,19.1,0,8.2,71.5,0,1.3,0,0,0,0.02,0.08,3.3,0,1.49,382,152.7,23,28,0.3,0.02,0.84,0.04,171,21
白蘑,242,38.7,14.4,3.3,9.2,17.2,17.2,0,0,0,0.07,0.08,44.3,0,8.57,3106,5.2,169,167,19.4,5.96,9.04,5.88,1655,0
白木耳,200,10,36.9,1.4,14.6,30.4,6.7,0,50,8,0.05,0.25,5.3,0,1.26,1588,82.1,36,54,4.1,0.17,3.03,0.08,369,2.59
白葡萄酒,58,0,0,0,0,0,0.1,0,0,0,0,0.04,0,0,0,23,0.4,13,2,0,0,0.02,0.11,3,0
白葡萄酒(10.4度),65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.2,0.01,0.04,0,0,0.15
白葡萄酒(11度),80,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,71,0,0,0,2,0,0,0.05,0,0
白砂糖,400,0,99.9,0,0,0,0.1,0,0,0,0,0,0,0,0,5,0.4,20,3,0.6,0.09,0.06,0.04,8,0
白薯干,340,4.7,78.5,0.8,12.1,2,1.9,0,150,25,0.15,0.11,1.1,9,0.38,353,26.4,112,102,3.7,1.14,0.99,5,115,2.64
白水羊头,193,22.4,1.2,11,61.9,0,3.5,13,0,13,0,0.28,1.4,0,0.87,32,899.4,41,11,5.4,0.2,1.5,0.12,110,11.18
白糖,396,0.1,98.9,0,0.9,0,0.1,0,0,0,0,0,0.2,0,0,2,2,6,2,0.2,0.08,0.07,0.02,3,0.38
白脱(食用工业),742,0,0,82.7,17.7,0,0.1,534,0,534,0.01,0.06,0.1,0,3.71,43,18,1,2,1,0.02,0.8,0.02,14,0.56
白眼棱鱼,118,18.9,0,4.8,75.3,0,1.1,0,0,0,0.02,0.13,2.3,0,3.34,245,71.4,19,25,0.5,0.02,0.82,0.03,183,16.8
白芷,324,8.9,68.8,1.5,11.9,5.3,3.6,0,0,0,0.35,0.54,1,1,1.93,100,27.4,3,19,4.4,0.73,0.8,0.63,118,3.4
百合,162,3.2,37.1,0.1,56.7,1.7,1.2,0,0,0,0.02,0.04,0.7,18,0,510,6.7,11,0,1,0.35,0.5,0.24,61,0.2
百合（干）,342,6.7,77.8,0.5,10.3,1.7,3,0,0,0,0.05,0.09,0.9,0,0,344,37.3,32,42,5.9,0.59,1.31,1.09,92,2.29
百合（脱水）,343,8.1,77.4,0.1,9.9,1.7,2.8,0,0,0,0,0.02,1.1,7,0,492,69.8,29,43,5,0.55,1.25,1.7,72,3.08
百页,260,24.5,4.5,16,52,1,2,0,30,5,0.04,0.05,0.2,0,23.38,94,20.6,313,80,6.4,1.96,2.52,0.46,309,1.75
摆佳鱼,100,15.3,4.7,2.2,76.5,0,1.3,34,0,34,0.04,0.11,2.8,0,2.65,229,60.6,82,26,0.8,0.08,0.76,0.07,180,19.47
斑节对虾,103,18.6,5.4,0.8,73.6,0,1.6,15,0,81,0,0,2.4,0,1.64,363,168.8,59,63,2,0.22,1.78,1.48,275,28.39
斑鸠肉,171,21.4,2.2,8.5,66.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板蕉,109,1.2,25.8,0.1,68.9,3.1,0.9,0,0,0,0.02,0.02,0.6,0,0,330,1.3,6,29,0.3,0.78,0.16,0.1,18,0.81
板粟,185,4.2,40.5,0.7,52,1.7,0.9,0,190,32,0.14,0.17,0.8,24,4.56,442,13.9,17,50,1.1,1.53,0.57,0.4,89,1.13
板油酥饼,362,7.6,19.4,14.9,27.4,0,0.7,40,0,40,0.11,0.15,0.6,0,2.21,102,324,14,14,2.2,0,0.63,0.13,71,0
蚌肉,71,15,0.8,0.9,80.8,0,2.5,283,0,283,0.01,0.22,0.4,0,0,6,6.1,190,22,50,82.5,8.5,0.15,300,0
棒瓜,16,1.2,2.6,0.1,94.3,1.2,0.6,0,20,3,0.01,0.1,0.1,8,0,76,1,17,10,0.1,0.03,0.08,0.02,18,1.45
宝宝福,390,0.2,97.3,0,2.1,0,0.4,0,0,0,0.13,1.19,0.2,31,0,96,22.6,29,10,12.6,0.1,0.11,0.03,5,0
鲍鱼,84,12.6,6.6,0.8,77.5,0,2.5,24,0,24,0.01,0.16,0.2,2.2,0.44,136,2011.7,266,59,22.6,0.4,1.75,0.72,77,21.38
鲍鱼(干),322,54.1,13.7,5.6,18.3,0,8.3,28,0,28,0.02,0.13,7.2,0.85,0.85,366,2316.2,143,352,6.8,0.32,1.68,0.45,251,66.6
北京烤鸭,436,16.6,6,38.4,38.2,0,0.8,36,0,36,0.04,0.32,4.5,0,0.97,247,83,35,13,2.4,0,1.25,0.12,175,10.32
北京啤酒,35,0.4,0,0,0,0,0.1,0,0,0,0.2,0.01,0,0,0,25,2.6,0,1,0,0,0,0,7,0
北京特制啤酒(6度),15,0,0,0,0,0,0.1,0,0,0,0.27,0.07,0,0,0,21,2.6,6,8,0,0,0,0.03,13,0
荸荠(地粟、马蹄),59,1.2,13.1,0.2,83.6,1.1,0.8,0,20,3,0.02,0.02,0.7,7,0.65,306,15.7,4,12,0.6,0.11,0.34,0.07,44,0.7
比目鱼,107,21.1,0.5,2.3,74.6,0,1.5,117,0,117,0.03,0.04,1.5,0,2.35,264,150.4,107,32,0.4,0.11,0.92,0.06,135,29.45
比目鱼,105,20.8,0,3.2,75.9,0,1.9,0,0,0,0.11,0,4.5,0,0.5,317,66.7,55,55,1,0.04,0.53,0.02,178,36.97
碧绿酒(41.0度),239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,5,2,0,0,0.03,0,0,0
边鱼,124,18.5,4.8,3.4,72,0,1.3,1,0,1,0.06,0.11,3.6,0,0.49,215,81.6,55,30,1.8,0.05,0.85,0.11,191,24.89
鳊鱼,135,18.3,1.2,6.3,73.1,0,1.1,28,0,28,0.02,0.07,1.7,0,0.52,215,41.1,89,17,0.7,0.05,0.89,0.07,188,11.59
扁豆,326,25.3,55.4,0.4,9.9,6.5,2.5,0,30,5,0.26,0.45,2.6,0,1.86,439,2.3,137,92,19.2,1.19,1.9,1.27,218,32
标准粉,344,11.2,71.5,1.5,12.7,2.1,1,0,0,0,0.28,0.08,2,0,1.8,190,3.1,31,50,3.5,1.56,1.64,0.42,188,5.36
冰川可乐,45,0,11.2,0,88.7,0,0.1,0,0,0,0.2,0,0,0,0,1,11.4,0,4,0.1,0,0.03,0,0,0
冰棍,47,0.8,10.5,0.2,88.3,0,0.2,0,0,0,0.01,0.01,0.2,0,0.11,0,20.4,31,0,0.9,0.1,0,0.02,13,0.25
冰淇淋,126,2.4,17.3,5.3,74.4,0,0.6,48,0,48,0.01,0.03,0.2,0,0.24,125,54.2,126,12,0.5,0.05,0.37,0.02,67,1.73
冰淇淋粉,396,14.5,76.7,3.5,2.5,0,2.8,62,0,62,0.08,0.41,0.3,0,0,235,180.6,539,123,1.2,0.04,1.09,0.06,320,0.1
冰糖,397,0,99.3,0,0.6,0,0.1,0,0,0,0.03,0.03,0,0,0,1,2.7,23,2,1.4,0,0.21,0.03,0,0
冰砖,153,2.9,20,6.8,69.6,0,0.7,20,0,20,0.01,0.04,0.2,0,0.73,141,43.5,140,12,0.4,0,0.37,0,72,1.5
饼干,572,10.8,42.9,39.7,5.5,0.3,0.8,0,0,0,0.08,0.04,1.6,0,4.27,99,113.5,0,54,1.9,0.71,0.73,0.23,95,22.7
饼干(VC饼干),457,7.9,66.4,17.8,5.4,1.2,1.3,0,0,0,0.11,0.03,5.1,0,0.63,106,320.1,149,57,3.9,0.88,0,0.4,119,22.9
饼干(补血饼干),408,8.4,76.2,7.7,5.7,0,0.2,0,0,0,0.03,0.01,0.4,0,1.01,82,12.2,0,20,1.6,0,0.35,0.18,69,39.33
饼干(儿童营养饼干),429,8.5,69.2,13.1,6.5,1,1.7,22,440,95,0.09,0.02,3.6,0,7.23,110,196.4,49,32,2.1,0.59,1.52,1.15,105,20.6
饼干(钙奶饼干),433,9,70.6,12.7,5.7,1.1,0.9,24,80,37,0.08,0.04,4.7,0,4.57,85,204.1,73,50,1.9,0.87,0.91,0.23,88,12.47
饼干(高蛋白饼干),452,11.8,68,14.7,4.1,0.4,1,0,0,0,0,0,0,0,0,72,177.4,76,73,9.6,0,4.1,0.6,184,0
饼干(军用压缩),444,8.4,73,13.2,3.3,0.9,1.2,0,0,0,0.06,0.03,1.1,0,1.67,83,112.2,115,61,3.5,0.59,3.3,0.96,267,12.42
饼干(赖氨酸),546,6.5,58.9,31.6,1.9,0.2,0.9,0,0,0,0.06,0.06,1.3,0,6.04,67,174.6,45,19,1.9,0.29,0.31,0.12,64,12.8
饼干(奶油),448,11,64.5,16.2,5.6,1.5,1.2,0,460,77,0.13,0.05,5.5,0,6.75,103,104.7,111,60,3.7,0.75,1.48,0.63,159,27
饼干(强化锌),528,5.4,47.5,35.2,10.3,0.5,1.1,0,0,0,0.15,0.22,1.4,0,0.71,0,281.8,58,24,2.4,0.46,0.54,0.11,63,10.1
饼干(曲奇饼),444,11,70.1,13.3,3.3,1.1,1.2,13,0,13,0.08,0.04,1.7,0,8.48,117,231.1,144,74,2.2,0.71,1.52,0.28,123,23.5
饼干(苏打),546,6.5,58.9,31.6,1.9,0.2,0.9,0,0,0,0.06,0.06,1.3,0,6.04,67,174.6,45,19,1.9,0.29,0.31,0.12,64,12.8
饼干(维夫饼干),446,10.8,71.8,12.9,3.9,0.3,0.3,0,0,0,0,0,0,0,0,52,107.4,136,59,5.4,0,2.8,0.3,172,0
菠菜,24,2.6,1.8,0.3,91.2,1.7,1.4,0,2920,487,0.04,0.11,0.6,32,1.74,311,85.2,66,58,29,0.66,0.85,0.1,47,0.97
菠萝,41,0.5,9.5,0.1,88.4,1.3,0.2,0,200,33,0.04,0.02,0.2,18,0,113,0.8,12,8,0.6,1.04,0.14,0.07,9,0.24
菠萝豆,392,10.4,82.8,2.1,4.1,0.1,0.5,0,0,0,0,0.04,0.1,0,0.41,38,30,19,4,9,2.63,2.01,0.06,100,4.1
菠萝蜜肉,103,0.2,24.9,0.3,73.2,0.8,0.6,0,0,0,0.06,0.05,0.7,9,0.52,330,11.4,9,24,0.5,0.18,0.12,0.12,18,4.17
菠萝蜜子,160,4.9,34.4,0.3,57,2.3,1.1,0,0,0,0.31,0.16,0.9,16,0.12,400,11.5,18,27,1.6,0.3,0.54,0.27,68,10.47
薄荷,208,6.8,36.5,3.9,9.6,31.1,12.1,0,700,117,0,0.4,0,0,4.69,135,17.5,0,0,4.3,5.15,1.64,2.08,22,0
彩球糖,396,0,99,0,1,0,0,0,0,0,0,0,0,0,0,5,9.7,12,4,0.8,0.01,0.37,0.76,0,0
菜豆,28,2,4.2,0.4,91.3,1.5,0.6,0,210,35,0.04,0.07,0.4,6,1.24,123,8.6,42,27,1.5,0.18,0.23,0.11,51,0.43
菜干,141,13.3,20.1,0.8,24.9,27.4,13.5,0,900,150,0,0.4,0.6,0,0,883,3333,0,263,0,9.33,1.7,0.4,100,2.2
菜瓜,18,0.6,3.5,0.2,95,0.4,0.3,0,20,3,0.02,0.01,0.2,12,0.03,136,1.6,20,15,0.5,0.03,0.1,0.03,14,0.63
菜瓜(酱),18,0.6,3.5,0.2,95,0.4,0.3,0,20,3,0.02,0.01,0.2,12,0.03,136,1.6,20,15,0.5,0.03,0.1,0.03,14,0.63
菜花,24,2.1,3.4,0.2,92.4,1.2,0.7,0,30,5,0.03,0.08,0.6,61,0.43,200,31.6,23,18,1.1,0.17,0.38,0.05,47,0.73
菜花(脱水),286,6.5,63.6,0.6,9.8,13.2,6.3,0,0,0,0.21,0,7.4,82,0,554,264.3,185,99,6.4,1.08,2.15,0.79,182,5.59
菜心(菜苔),25,2.8,2.3,0.5,91.3,1.7,1.4,0,960,160,0.05,0.08,1.2,44,0.52,236,26,96,19,2.8,0.41,0.87,0.18,54,6.68
菜肴梨,16,1.2,2.6,0.1,94.3,1.2,0.6,0,20,3,0.01,0.1,0.1,8,0,76,1,17,10,0.1,0.03,0.08,0.02,18,1.45
菜籽油,899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,60.89,2.4,7,9,2.9,3.7,0.11,0.54,0.18,9,2.34
菜子油(特级),899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,60.89,2.4,7,9,2.9,3.7,0.11,0.54,0.18,9,2.34
餐条鱼,165,18.3,0,10.2,72.7,0,1.1,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蚕豆,104,8.8,16.4,0.4,70.2,3.1,1.1,0,310,52,0.37,0.1,1.5,16,0.83,391,4,16,46,3.5,0.55,1.37,0.39,200,2.02
蚕豆(烤),446,26.7,39.9,20,10.5,0.5,2.4,0,30,5,0.16,0.12,7.7,0,5.15,742,547.9,207,69,3.6,0.18,2.83,0.94,330,2.1
蚕豆(炸),372,27,61.6,2,4.3,2.2,2.9,0,110,18,0.22,0.12,4.8,0,5.16,1083,10.9,229,138,5.3,1.15,3.04,1.34,454,4.9
蚕蛹,230,21.5,6.7,13,57.5,0,1.3,0,0,0,0.07,2.23,2.2,0,9.89,272,140.2,81,103,2.6,0.64,6.17,0.53,207,11.1
糙皮侧耳,20,1.9,2.3,0.3,92.5,2.32,0.7,0,10,2,0,0.16,3.1,4,0.79,258,3.8,5,14,1,0.07,0.61,0.08,86,1.07
草包鱼,112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66
草菇,23,2.7,2.7,0.2,92.3,1.6,0.5,0,0,0,0.08,0.34,8,0,0.4,179,73,17,21,1.3,0.09,0.6,0.4,33,0.02
草莓,30,1,6,0.2,91.3,1.1,0.4,0,30,5,0.02,0.03,0.3,47,0.71,131,4.2,18,12,1.8,0.49,0.14,0.04,27,0.7
草莓酱,269,0.8,66.1,0.2,32.5,0.2,0.2,0,0,0,0.15,0.1,0.2,1,0.49,52,8.7,44,4,2.1,0.013,0.5,0.09,8,1.1
草虾(塘水虾),112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66
草鱼,112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66
草质红菇,200,24.4,19.3,2.8,15.5,31.6,6.4,0,80,13,0.26,6.9,19.5,2,0,228,1.7,1,30,7.5,0.91,3.5,2.3,523,10.64
叉烧肉,279,23.8,7.9,16.9,49.2,0,2.2,16,0,16,0.66,0.23,7,0,0.68,430,818.8,8,28,2.6,0.2,2.42,0.1,218,8.14
茶水,0,0.1,0,0,99.8,0,0.1,0,0,0,0,0,0,0,0,6,3.9,2,3,0.1,0.12,0.03,0.01,1,0.08
茶汤,92,1.5,21.4,0.1,75.2,0.1,1.7,0,0,0,0.05,0.04,0.4,0,0.25,42,23.6,17,17,1.1,0.11,0.43,0.07,41,0.84
茶叶(红茶),294,26.7,44.4,1.1,7.3,14.8,5.7,0,3870,645,0,0.17,6.2,8,5.47,1934,13.6,378,183,28.1,49.8,3.97,2.56,390,56
茶叶(花茶),281,27.1,40.4,1.2,7.4,17.7,6.2,0,5310,885,0.06,0.17,0,26,12.73,1643,8,454,192,17.8,16.95,3.98,2.08,338,8.53
茶叶(甲级龙井),309,33.3,37.8,2.7,6.1,11.1,9,0,3330,555,0.19,0.09,8.6,0,5.94,2812,54.4,402,224,23.7,8.12,5.88,1.71,542,16.65
茶叶(绿茶),296,34.2,34.7,2.3,7.5,15.6,5.7,0,5800,967,0.02,0.35,8,19,9.57,1661,28.2,325,196,14.4,32.6,4.34,1.74,191,3.18
茶叶(石榴花茶),320,10.5,63,2.9,6.4,11.2,6,0,1570,262,0.17,0.12,4,0,6.86,2455,36.6,1143,206,24.2,3.18,2.36,1.4,165,14.65
茶叶(柿叶茶),286,25.8,41.4,1.9,3.6,17.7,9.6,0,0,0,0,1.37,0,866,0,0,0,0,0,0,0,0,0,0,0
茶叶(铁观音茶),304,22.8,50.3,1.3,6.2,14.7,4.7,0,2590,432,0.19,0.17,18.5,0,16.59,1462,7.8,416,131,9.4,13.98,2.35,1.02,251,13.8
茶叶(珠茶),305,28.7,43.7,1.7,5.3,14.6,6,0,0,0,0,0.2,6.6,44,16.69,739,13.3,203,202,40.4,63.37,3.13,1.42,352,5.6
茶叶(砖茶),206,14.5,27.9,4,7.8,38.8,7,0,1900,317,0,0.24,1.9,0,0,844,15.1,277,217,14.9,46.5,4.38,2.07,157,9.4
茶油,899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,27.9,2,0.7,5,2,1.1,1.17,0.34,0.03,8,2.8
鲳板鱼,100,15.3,4.7,2.2,76.5,0,1.3,34,0,34,0.04,0.11,2.8,0,2.65,229,60.6,82,26,0.8,0.08,0.76,0.07,180,19.47
鲳鱼,142,18.5,0,7.8,72.8,0,1.4,24,0,24,0.04,0.07,2.1,0,1.26,328,62.5,46,39,1.1,0.07,0.8,0.14,155,27.21
鲳鱼子,142,18.5,0,7.8,72.8,0,1.4,24,0,24,0.04,0.07,2.1,0,1.26,328,62.5,46,39,1.1,0.07,0.8,0.14,155,27.21
长瓜,14,0.7,2.7,0.1,95.3,0.8,0.4,0,40,7,0.02,0.01,0.4,11,0,87,0.6,16,7,0.4,0.08,0.14,0.04,15,0.49
长毛对虾,90,18.5,3,0.4,76.4,0,1.7,12,0,79,0.03,0.06,3.1,0,3.52,386,208.8,36,47,2.9,0.12,1.55,0.62,241,9.11
长茄子,19,1,3.5,0.1,93.1,1.9,0.4,0,180,57,0.03,0.03,0.6,7,0.2,136,6.4,55,15,0.4,0.14,0.16,0.07,2,0.57
长生果,298,12.1,5.2,25.4,48.3,7.7,1.3,0,10,2,0,0.04,14.1,14,2.93,390,3.7,8,110,3.4,0.65,1.79,0.68,250,4.5
肠(茶肠),329,9,6.7,29.6,5.42,0,2.3,0,0,0,0.14,0.08,3.1,0,0.21,178,723.2,2,15,2.1,0.11,2.85,0.17,150,3.28
肠(大腊肠),267,12.9,8.6,20.1,54.9,0,3.5,0,0,0,0.67,0.07,10,0,0,159,1099.1,24,7,1.5,0,1.41,0.1,66,4.6
肠(大肉肠),272,12,4.6,22.9,57,0,3.5,0,0,0,0.24,0.06,7.4,0,0,233,1370.4,67,27,3.1,0.07,2.55,0.11,97,5.1
肠(蛋清肠),278,12.5,5.8,22.8,55.1,0,3.8,20,0,20,0.65,0.06,10.7,0,0,161,1143.2,26,7,2.2,0.02,1.27,0.11,85,5.7
肠(儿童肠),290,13.1,15.3,19.6,49.8,0,2.2,0,0,0,0.26,0.09,3,0,1.11,218,0,12,18,3.2,0.05,2.41,0.02,101,16.66
肠(粉肠),260,10.2,20.3,15.3,51.4,0,2.8,0,0,0,0.05,0.11,11.3,0,0.41,145,781.3,22,7,4.7,0.01,1.06,0.1,97,4.4
肠(风干肠),283,12.4,5.9,23.3,55.8,0,2.6,0,0,0,0.12,0.09,12.6,0,0,163,618,18,7,3.5,0.03,1.4,0.11,121,3.5
肠(广东香肠),433,18,6.4,37.3,33.5,0,4.8,0,0,0,0.42,0.07,5.7,0,0,356,1477.9,5,24,2.8,0.04,2.62,0.07,173,7.02
肠(红肠),260,10.2,20.3,15.3,51.4,0,2.8,0,0,0,0.05,0.11,11.3,0,0.41,145,781.3,22,7,4.7,0.01,1.06,0.1,97,4.4
肠(红果肠),260,10.2,20.3,15.3,51.4,0,2.8,0,0,0,0.05,0.11,11.3,0,0.41,145,781.3,22,7,4.7,0.01,1.06,0.1,97,4.4
肠(火腿肠),212,14,15.6,10.4,57.4,0,2.6,5,0,5,0.26,0.43,2.3,0,0.71,217,771.2,9,22,4.5,0.14,3.22,0.36,187,9.2
肠(腊肠),584,22,15.3,48.3,8.4,0,6,0,0,0,0.04,0.12,3.8,0,0,100,1420,24,13,3.2,0.16,2.48,0.07,69,8.77
肠(南肠),260,10.2,20.3,15.3,51.4,0,2.8,0,0,0,0.05,0.11,11.3,0,0.41,145,781.3,22,7,4.7,0.01,1.06,0.1,97,4.4
肠(萨拉米肠),584,22,15.3,48.3,8.4,0,6,0,0,0,0.04,0.12,3.8,0,0,100,1420,24,13,3.2,0.16,2.48,0.07,69,8.77
肠(松江果),402,12.3,28.5,26.5,30.4,0,2.3,10,0,10,0.2,0.1,3.1,0,0.09,195,759,5,37,2.8,0.25,4.2,0.3,202,4.81
肠(蒜肠),297,7.5,9.5,25.4,52.5,0,1.9,5,0,5,0.06,0.15,1,0,0.27,92,561.5,13,9,1.9,0.18,1.8,0.04,74,3.5
肠(午餐肠),261,2.9,24.9,16.6,52.4,0,3.2,65,0,65,0.1,0.71,0.4,0,0.18,102,552.8,2,26,4.7,0.16,2.24,0.25,51,5.6
肠(香肠),508,24.1,11.2,40.7,19.2,0,4.8,0,0,0,0.48,0.11,4.4,0,1.05,453,2309.2,14,52,5.8,0.36,7.61,0.31,198,8.77
肠(小红肠),280,11.8,6,23.2,56.2,0,2.8,158,0,158,0.27,0.14,2.6,0,0.17,183,682.2,10,14,2.2,0.1,2.11,0.12,161,4.94
肠(小泥肠),295,11.3,3.2,26.3,56.4,0,2.8,0,0,0,0.16,0.07,13.4,0,0,132,648.2,20,5,1.1,0.07,1.24,0.09,170,7.1
